id,article_id,comment_counter,comment_id,text,reactions,post_time,author,replies
0,10012655,source2_10012655_0,089924_0,"The TFW policy is flat our wrong on virtually every front. It is bad economic policy, bad politics, and morally repugnant. The only people served by it are a few rapacious employers. As this is the Harper government, to date those few beneficiaries have been all that mattered. The only hope for change is that it becomes a political issue in Alberta, among workers/voters tired of wage suppression.",{},"Mar 21, 2013",nmilton,Yes
1,10012655,source2_10012655_0_0,089924_0,"This issue needs front and centre attention.How can we possibly tolerate thousands of people in various parts of this country going unemployed or under-employed and continue to bring these people in?This is simply cynical corporate profit making.The Conservative government has a lot to answer for if they don't stop this process.The next election platform for the government should be all about Canadian jobs, jobs, jobs for CANADIANS.",{},"Mar 21, 2013",Roger_M,No
2,10012655,source2_10012655_1,298169_0,What is the reason behind allowing employers to hire temporary workers for less wages than they are legally obliged to pay Canadian workers? This is a recipe for disaster. Stop this insane practice.,{},"Mar 20, 2013",Grimsby-Bruce,Yes
3,10012655,source2_10012655_1_0,298169_0,I agree. If there are no skilled Canadians for the job bring in TFWs but pay them the same as Canadians. Otherwise some less-than-honorable companies are going to bring in foreign workers just to save a few bucks.,{},"Mar 20, 2013",Sunstorm,No
4,10012655,source2_10012655_1_1,298169_0, Pay them the same as Canadians and tax the employer an additional 10% to pay for training Canadian workers.,{},"Mar 20, 2013",VertKnight,No
5,10012655,source2_10012655_1_2,298169_0," The reason is likely that you don't need to pay social security type benefits for people that are never going to be around to collect.This is slightly off topic, but in Myrtle Beach you'd be hard pressed to find an American employee in any of the seasonal beach type businesses - they're all East European, and locals can't compete with them on wages since there's about a 20% differential with the fringes taken out.",{},"Mar 21, 2013",Jimmy_K2,No
6,10012655,source2_10012655_2,562905_0,"I think we have HD Mining to thank for the notice we are finally paying to TFWs.When they were nannies and coffee servers, we didn't really notice them, and about the only other time they come to our attention is when every second liftie at the ski hill is an Aussie.I think there can be a case made for the Aussie liftie - go to Canada for a year, have an adventure, go home. More of our kids should probably do the same.The nanny and coffee server situation doesn't make us look too good. Come to Canada, raise our children and pour our coffee for us, but don't expect anything in return - like the same chance that the immigrants I'm descended from had - to work their butts off so their descendants (me and mine) could have an easier life. We are, to put it bluntly, exploiting them.With the HD Mining situation, the narrative has changed again from adventure seeker to exploited underclass to skilled workers who will work for less than Canadian skilled workers, and have no ties to Canada. They will send their wages home. HD Mining will sent the coal home, and in the long run Canada will be left with nothing but a hole in the ground while the mining companies and the miners go on to exploit some other country with resources to sell.The exploiter becomes the exploited and we have only ourselves to blame.The TFW program needs to be stopped. Immigration needs to be opened up to people willing to work their way into Canada rather than buying their way in with the investor class, because that policy seems to have lead to a housing bubble and not much else in the way of econiomic stimulus.",{},"Mar 21, 2013",SFD1,No
7,10012655,source2_10012655_3,717276_0,"Well, no kidding. The Conservatives claim to want assimilation, but then they do everything in their power to make it impossible.",{},"Mar 20, 2013",diane marie,Yes
8,10012655,source2_10012655_3_0,717276_0,"Everything? That is a huge statement when we are talking about a narrow issue.I'm an immigrant myself, an naturalized Canadian.Getting away from the LPC cultural mosaic theory is something probably 80% of us wish would happen.The ghettoization that the cultural mosaic promotes, versus the integration of the melting pot is the main point of difference between the political parties.",{},"Mar 20, 2013",VertKnight,No
9,10012655,source2_10012655_3_1,717276_0," @VertKnightAny source for the 80% stat you're talking about?Also, if the Conservatives are advocating for a melting pot society, any links for something like that? Surely there's got to be something featuring &quot;Curry in a Hurry&quot; saying something like &quot;welcome to Canada, leave your culture at the door&quot;?Conservative MP Alice Wong is all about the melting pot... particularly if the pot is full of shark fins and only Chinese media are invited...www.leaderpost.com/life/Richmond+Alice+Wong+defends+decision+shark+soup/7387513/story.htmlThe truth is, the Conservatives have identified cultural communities as something they must exploit for political gain, and thus aren't looking for them to go away anytime soon...metronews.ca/news/toronto/17493/conservative-candidate-asks-for-ethnic-costumes/news.nationalpost.com/2012/02/02/kenney-refuses-to-apologize-for-fake-citizenship-broadcast-blames-bureaucrats/So really what you have is the LPC, which is openly in favour of the mosaic, and the CPC which is covertly in favour of the mosaic...",{},"Mar 21, 2013",SourceCheck,No
10,10012655,source2_10012655_4,662419_0,The guest worker program is there to suppress liveable wages to enjoy a Canadian standard of living. It interferes with supply and demand for the profit of a few. Unemployment rates would be much lower if liveable wages could be earned without having to compete with third world dictated minimum wages and harpo's new EI eligibility rules.,{},"Mar 20, 2013",GeorgeBrownIII1,No
11,10012655,source2_10012655_5,161601_0,"Why should temporary workers get paid more??How about Tim Horton's and all the rest of the companies rushing to hire all of these temporary foreign workers hire CANADIANS and PAY THEM A LIVING WAGE?HOW ABOUT THAT, HUH?This whole temp worker incentive is a drive the labour force to the bottom, nothing more.The government should be much tougher on hiring practices with these companies and instead build incentives for young Canadians, and especially in apprenticeship programs.",{},"Mar 21, 2013",Roger_M,No
12,10012655,source2_10012655_6,763100_0,"So instead of complaining, we need some of the unemployed Canadians to do these jobs. Why don't they? Because, they are underpaid (however better this than not paid), dirty, unsafe etc. all we are doing is passing off our dirty work to needy foreigners and then not even treating them properly. Most well-off Western countries do this and then they are surprised by the resentment, social unrest, even violence that this leads to. Stop it and train Canadians, whether they want this or not. Keep jobs here, don't we need them?",{},"Mar 21, 2013",Aniechka,Yes
13,10012655,source2_10012655_6_0,763100_0,"If someone's running a business no Canadians want to work in, he'd best be getting a better business.He needs to report himself to the Better Business Bureau.",{},"Mar 21, 2013",The Work Farce,No
14,10012655,source2_10012655_6_1,763100_0," In Iceland, all the jobs are done by the Icelanders. In Japan, all jobs are done by Japanese.It's a safe assumption that they found a solution to &quot;jobs nobody wants to do&quot;.",{},"Mar 21, 2013",Seedy How,No
15,10012655,source2_10012655_6_2,763100_0," Not quite true, in Iceland they do often bring in extra workers for the height of the fishing season but they are paid the same as the local workers and, with a population of 300k, are only brought in fi no Icelanders are available, not if no icelanders are not willing to work at that rate. Here it is used as a wage suppresent, there it is used because there are, literally, not enough people living in the country to handle the workload. It is done to boost the national economy, not to boost corporate profits.",{},"Mar 21, 2013",john2012,No
