,article_id,comment_counter,comment_id,text,reactions,post_time,author,replies,text_preprocessed
0,14505273,source2_14505273_0,955742_0,"Actually Canada needs an opposition party. When's the last time you heard any REAL political opposition to any of Harper's policies. For example, immigration or choosing sides in global warfare, or free-trade agreements that ship our raw resources out of the country taking away Canadian jobs. That's right. You haven't. Because we live under a one-party system.",{},"Sep 24, 2013",Sheep #5491,No,"Actually Canada needs an opposition party. When's the last time you heard any REAL political opposition to any of Harper's policies. For example, immigration or choosing sides in global warfare, or free-trade agreements that ship our raw resources out of the country taking away Canadian jobs. That's right. You haven't. Because we live under a one-party system."
1,14505273,source2_14505273_1,026472_0,Egypt needs to adopt that part of the U.S. Constitution that was drawn up in a period of dissension among the Christian churches and that has kept religion out of their mainstream institutions.Quebec understands this.,{},"Sep 24, 2013",George Victor 1,Yes,Egypt needs to adopt that part of the U.S. Constitution that was drawn up in a period of dissension among the Christian churches and that has kept religion out of their mainstream institutions. Quebec understands this.
2,14505273,source2_14505273_1_0,026472_0,Huh?,{},"Sep 24, 2013",House11,No,Huh?
3,14505273,source2_14505273_1_1,026472_0, Quebec understands how to leech monetary funds from Canada in order to pay its' fraudulent political payola.,{},"Sep 24, 2013",House11,No,Quebec understands how to leech monetary funds from Canada in order to pay its' fraudulent political payola.
4,14505273,source2_14505273_2,885249_0,Their opposition is the Islamist party. But the ruling military does not recognize that. They are afraid that if that opposition party ever came to power there won't be any opposition party. It is no opposition party either way.,{},"Sep 26, 2013",morris49,No,Their opposition is the Islamist party. But the ruling military does not recognize that. They are afraid that if that opposition party ever came to power there won't be any opposition party. It is no opposition party either way.
5,14505454,source2_14505454_0,362520_0,I have a PalmPilot. I use it everyday. It sits by my bed and I use it as an alarm clock. Best one I've ever had.,{},"Sep 26, 2013",Rick_A,No,I have a PalmPilot. I use it everyday. It sits by my bed and I use it as an alarm clock. Best one I've ever had.
6,14505454,source2_14505454_1,211562_0,I don't understand how that qualifies as an editorial.I thought besides stating obvious things you should also say something intelligent.Better go back to supporting pipelines and the big telcos Stackhouse.,{},"Sep 24, 2013",Canadalover1,No,I don't understand how that qualifies as an editorial. I thought besides stating obvious things you should also say something intelligent. Better go back to supporting pipelines and the big telcos Stackhouse.
7,14505454,source2_14505454_2,412557_0,Remember ...we are Bell Canada! We want to sell you as much Data as possible....and well frankly BB doesn't help! They were data killers. Thank You!Conspiracy theorists excluded....! No Conspiracy here....Look the other way....Oh ....we own the Judiciary any how... cause we own the politicians! Thank You again Nothing to see here ...go away!,{},"Sep 24, 2013",Loon-A-Tick,Yes,Remember ...we are Bell Canada! We want to sell you as much Data as possible....and well frankly BB doesn't help! They were data killers. Thank You! Conspiracy theorists excluded....! No Conspiracy here....Look the other way....Oh ....we own the Judiciary any how... cause we own the politicians! Thank You again Nothing to see here ...go away!
8,14505454,source2_14505454_2_0,412557_0,"Like all things BB, they were data killers when the only data anyone had to worry about was text. Their compression does nothing for the prime media hogs today - photos, videos and music, which are all compressed anyway. Like all things BB they had their moment - about 10 years ago.",{},"Sep 26, 2013",AlienProbe,No,"Like all things BB, they were data killers when the only data anyone had to worry about was text. Their compression does nothing for the prime media hogs today - photos, videos and music, which are all compressed anyway. Like all things BB they had their moment - about 10 years ago."
9,14505454,source2_14505454_3,090524_0,Yes ...you poor people should expect to get ripped off by the elite.! What is wrong with you plebs!!!! The law only protects the rich. Retail investors aren't worth saving ...God Bless America! Oh well we are in Canada but we all love our elites! Thank You!,{},"Sep 24, 2013",Loon-A-Tick,Yes,Yes ...you poor people should expect to get ripped off by the elite.! What is wrong with you plebs!!!! The law only protects the rich. Retail investors aren't worth saving ...God Bless America! Oh well we are in Canada but we all love our elites! Thank You!
10,14505454,source2_14505454_3_0,090524_0,"You are right, you are a Loon-A-Tick",{},"Sep 27, 2013",Just call me Nemo,No,"You are right, you are a Loon-A-Tick"
11,14505454,source2_14505454_4,269561_0,It's too bad about BlackBerry but they had a good run and made lots of money for their investors. If they fade away that is how the free market capitalism is supposed to work. Too bad they didn't manufacture cars they might get a few billion Harper bucks to stay in the game.,{},"Sep 24, 2013",Jimbo5,Yes,It's too bad about BlackBerry but they had a good run and made lots of money for their investors. If they fade away that is how the free market capitalism is supposed to work. Too bad they didn't manufacture cars they might get a few billion Harper bucks to stay in the game.
12,14505454,source2_14505454_4_0,269561_0,"Sure, about a decade ago, how about all the investors who bought when the stock was up in the 140s and are now looking at 9, if lucky. Not so much money this decade, is there?",{},"Sep 26, 2013",AlienProbe,No,"Sure, about a decade ago, how about all the investors who bought when the stock was up in the 140s and are now looking at 9, if lucky. Not so much money this decade, is there?"
13,14505454,source2_14505454_5,507997_0,I sense a gary larson cartoon is on its way,{},"Sep 24, 2013",The Last Truthbender,Yes,I sense a gary larson cartoon is on its way
14,14505454,source2_14505454_5_0,507997_0,You got that right...I wish I could draw.,{},"Sep 24, 2013",Loon-A-Tick,No,You got that right...I wish I could draw.
15,14513047,source2_14513047_0,505540_0,"The top % class have the most dollars to finance political parties,the &quot;middle class&quot; has the most votes.Hence, the substantial dollar investments by the top % classto brainwash the middle votersin adopting its aims and values ,through all sorts of mass media.",{},"Sep 25, 2013",claroch,No,"The top % class have the most dollars to finance political parties, the ""middle class"" has the most votes. Hence, the substantial dollar investments by the top % class to brainwash the middle voters in adopting its aims and values ,through all sorts of mass media."
16,14513047,source2_14513047_1,359809_0,"&quot;... politically, they are the target of every party.&quot;Sure! The broke folk can't use the tax deduction for political donations, and the rich and stupid are forking out from their lobbyist associations, clubs, business and industry groups.Democracy is for sale. Harper knows, Trudeau's cutting his teeth on it. More ghettos coming, and a Canadian Spring?",{},"Sep 25, 2013",NormInWpg,No,"""... politically, they are the target of every party.""Sure! The broke folk can't use the tax deduction for political donations, and the rich and stupid are forking out from their lobbyist associations, clubs, business and industry groups. Democracy is for sale. Harper knows, Trudeau's cutting his teeth on it. More ghettos coming, and a Canadian Spring?"
17,14513047,source2_14513047_2,721311_0,"My childhood neighbourhood in Hamilton has a life expectancy now of 65.5 years, in Ancaster a few miles away it's 86 years. Are you seriously suggesting that a person who lives 20 years less is a greater burden on the health care system? The cost of looking after healthy people who end up in LTC with Alzheimer's after a few hip and knees replacements, 20 more years of colonoscopies and mammograms and cataract surgeries, is more than the cost of looking after a poor person who dies at 65.5 no matter what their health related issues are. I would say if you looked at the numbers everyone ends up using a pretty good chunk of change unless you get killed by a bus while crossing the street.",{},"Sep 25, 2013",detalumis,Yes,"My childhood neighbourhood in Hamilton has a life expectancy now of 65.5 years, in Ancaster a few miles away it's 86 years. Are you seriously suggesting that a person who lives 20 years less is a greater burden on the health care system? The cost of looking after healthy people who end up in LTC with Alzheimer's after a few hip and knees replacements, 20 more years of colonoscopies and mammograms and cataract surgeries, is more than the cost of looking after a poor person who dies at 65.5 no matter what their health related issues are. I would say if you looked at the numbers everyone ends up using a pretty good chunk of change unless you get killed by a bus while crossing the street."
18,14513047,source2_14513047_2_0,721311_0,"The reality is that on average about 1/3 of your lifetime health care spending is likely to come in your last six months of your life. Whether you die at 65.5 or at 85, the amounts may be similar. If the folks in Hamilton are dying much younger, then they have likely had numerous health ailments before they died that put lots of costs on the health care system.",{},"Sep 25, 2013",J. K. Galbraith,No,"The reality is that on average about 1/3 of your lifetime health care spending is likely to come in your last six months of your life. Whether you die at 65.5 or at 85, the amounts may be similar. If the folks in Hamilton are dying much younger, then they have likely had numerous health ailments before they died that put lots of costs on the health care system."
19,14513047,source2_14513047_2_1,721311_0," Detalumis, your comment reminds me of a study that was done in the Netherlands that showed how cigarettes save taxpayer dollars. By killing people off at an earlier age, there is less money getting paid out in pensions, long term care, and other health benefits, and apparently these savings more than offset the cost of cancer treatments. Although I have yet to see a cigarette company take advantage of this. Something along the lines of: &quot;Are you concerned that you don't have enough retirement savings to finance 20+ years of retirement? Smoke Brand X and we'll solve your problem by reducing the time you spend in retirement....&quot;",{},"Sep 25, 2013",Khawaja Khawaja,No,"Detalumis, your comment reminds me of a study that was done in the Netherlands that showed how cigarettes save taxpayer dollars. By killing people off at an earlier age, there is less money getting paid out in pensions, long term care, and other health benefits, and apparently these savings more than offset the cost of cancer treatments. Although I have yet to see a cigarette company take advantage of this. Something along the lines of: ""Are you concerned that you don't have enough retirement savings to finance 20+ years of retirement? Smoke Brand X and we'll solve your problem by reducing the time you spend in retirement...."""
20,14513047,source2_14513047_2_2,721311_0, &quot;&quot;&quot;&quot;chunk of change&quot;&quot;&quot;&quot; ???,{},"Sep 25, 2013",David Gibson,No,"""""""""chunk of change"""""""" ???"
